epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8893,1.24946,1.42947,1.11455,0.96612,0.92379,0.96367,0.60662,1.23831,0.79851,1.11215,0.000664944,0.000664944,0.000664944
2,180.603,1.22963,0.77975,1.10608,0.96347,0.92686,0.96245,0.63097,1.16518,0.63949,1.11603,0.00128767,0.00128767,0.00128767
3,271.433,1.22843,0.69455,1.1101,0.97254,0.9305,0.96595,0.64517,1.14949,0.6432,1.08985,0.00186639,0.00186639,0.00186639
4,368.594,1.19689,0.65806,1.09426,0.94321,0.93384,0.96016,0.64458,1.16281,0.60866,1.09098,0.001802,0.001802,0.001802
5,469.787,1.18571,0.63242,1.08942,0.97536,0.94268,0.97214,0.64741,1.14303,0.56292,1.07698,0.001736,0.001736,0.001736
6,573.316,1.15924,0.59777,1.07672,0.96813,0.94596,0.97128,0.65761,1.11916,0.53595,1.06821,0.00167,0.00167,0.00167
7,676.16,1.1613,0.58183,1.08114,0.98008,0.938,0.97347,0.6688,1.1122,0.52189,1.05811,0.001604,0.001604,0.001604
8,780.298,1.14095,0.56007,1.068,0.97832,0.9533,0.98186,0.66559,1.13004,0.49996,1.06655,0.001538,0.001538,0.001538
9,881.446,1.13396,0.54879,1.07209,0.98067,0.95068,0.9786,0.68133,1.07775,0.48359,1.05191,0.001472,0.001472,0.001472
10,985.761,1.12899,0.54627,1.06083,0.98099,0.9508,0.97946,0.68581,1.0706,0.47255,1.04075,0.001406,0.001406,0.001406
11,1088.05,1.12067,0.53282,1.05918,0.98261,0.96142,0.98549,0.68811,1.06532,0.4589,1.04264,0.00134,0.00134,0.00134
12,1191.45,1.11849,0.52034,1.05208,0.98204,0.96205,0.98797,0.69367,1.0602,0.44729,1.03118,0.001274,0.001274,0.001274
13,1292.39,1.08633,0.50756,1.04256,0.98562,0.96283,0.9866,0.6903,1.06993,0.45357,1.04028,0.001208,0.001208,0.001208
14,1392.51,1.097,0.50069,1.04741,0.98012,0.96392,0.98651,0.6944,1.05374,0.44144,1.02741,0.001142,0.001142,0.001142
15,1492.84,1.09366,0.49478,1.04314,0.98411,0.96861,0.9885,0.69854,1.04391,0.42803,1.02429,0.001076,0.001076,0.001076
16,1591.62,1.07315,0.48171,1.03818,0.98253,0.96283,0.98688,0.70145,1.0439,0.4276,1.02401,0.00101,0.00101,0.00101
17,1699.66,1.07236,0.48175,1.03322,0.98552,0.95986,0.98638,0.69864,1.04006,0.42853,1.02283,0.000944,0.000944,0.000944
18,1802.81,1.06555,0.4722,1.03079,0.98699,0.97144,0.99143,0.70687,1.03081,0.41745,1.01791,0.000878,0.000878,0.000878
19,1921.63,1.07399,0.47394,1.03303,0.98525,0.97035,0.99236,0.71,1.01911,0.40182,1.0165,0.000812,0.000812,0.000812
20,2025.96,1.06029,0.46032,1.03117,0.98687,0.9746,0.99276,0.70931,1.01488,0.40047,1.01535,0.000746,0.000746,0.000746
21,2166.4,1.05274,0.43234,1.04211,0.98942,0.96372,0.99081,0.70899,1.02371,0.41659,1.01239,0.00068,0.00068,0.00068
22,2267.12,1.04165,0.42808,1.03846,0.98437,0.97373,0.99118,0.70064,1.04073,0.41926,1.02494,0.000614,0.000614,0.000614
23,2361.02,1.03479,0.4188,1.03887,0.98487,0.97601,0.99358,0.71362,1.009,0.39298,1.00857,0.000548,0.000548,0.000548
24,2454.53,1.03108,0.41026,1.03702,0.98911,0.97853,0.99345,0.71727,1.0043,0.38465,1.00528,0.000482,0.000482,0.000482
25,2549.83,1.01704,0.39958,1.03228,0.98891,0.97517,0.99341,0.71689,1.00008,0.38638,1.00466,0.000416,0.000416,0.000416
26,2633.82,1.01768,0.39576,1.0261,0.98801,0.97828,0.9935,0.72146,0.98402,0.36984,0.99749,0.00035,0.00035,0.00035
27,2713.27,1.00602,0.38667,1.02628,0.9901,0.97767,0.99359,0.72138,0.98326,0.37491,1.00156,0.000284,0.000284,0.000284
28,2793.08,0.9979,0.37903,1.02197,0.98851,0.98106,0.99398,0.72373,0.97862,0.36567,0.99538,0.000218,0.000218,0.000218
29,2872.16,0.99673,0.37274,1.01768,0.98944,0.97954,0.99394,0.72748,0.96809,0.35514,0.99168,0.000152,0.000152,0.000152
30,2952.36,0.98228,0.36491,1.01191,0.99021,0.97986,0.99419,0.72999,0.96557,0.35234,0.99165,8.6e-05,8.6e-05,8.6e-05
