epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6022,1.25253,1.58504,1.10613,0.95912,0.90255,0.95159,0.61328,1.23019,0.94469,1.11108,0.000664944,0.000664944,0.000664944
2,188.75,1.2362,0.82068,1.10683,0.97167,0.93214,0.96756,0.64425,1.17562,0.64218,1.09556,0.00128767,0.00128767,0.00128767
3,275.576,1.23023,0.70965,1.10386,0.9581,0.93572,0.96275,0.63,1.20213,0.65397,1.0974,0.00186639,0.00186639,0.00186639
4,361.059,1.20864,0.68104,1.09165,0.96721,0.93065,0.96504,0.62601,1.15142,0.65381,1.08719,0.001802,0.001802,0.001802
5,447.823,1.18126,0.64405,1.08555,0.97043,0.93806,0.96918,0.63683,1.16167,0.59662,1.08318,0.001736,0.001736,0.001736
6,533.613,1.16567,0.6067,1.07649,0.98219,0.93878,0.97334,0.66044,1.12916,0.5515,1.07282,0.00167,0.00167,0.00167
7,618.793,1.16805,0.59089,1.07804,0.98072,0.95096,0.97865,0.66109,1.11321,0.52103,1.05889,0.001604,0.001604,0.001604
8,707.112,1.13848,0.576,1.06149,0.98271,0.94983,0.97719,0.67167,1.11258,0.50782,1.05139,0.001538,0.001538,0.001538
9,792.924,1.13415,0.56078,1.06522,0.98104,0.94784,0.97792,0.67688,1.09435,0.50117,1.04931,0.001472,0.001472,0.001472
10,901.323,1.1272,0.55572,1.05832,0.97015,0.95393,0.97856,0.67646,1.09773,0.50256,1.05651,0.001406,0.001406,0.001406
11,986.442,1.12597,0.54569,1.05791,0.97979,0.95408,0.9793,0.67727,1.09045,0.48249,1.05121,0.00134,0.00134,0.00134
12,1073.57,1.12059,0.52784,1.04755,0.97972,0.96017,0.98121,0.68731,1.0791,0.46202,1.03512,0.001274,0.001274,0.001274
13,1159.54,1.09356,0.51803,1.04159,0.98606,0.96085,0.98285,0.69079,1.06272,0.45776,1.03373,0.001208,0.001208,0.001208
14,1245.08,1.10291,0.51195,1.04444,0.9853,0.95783,0.9816,0.69416,1.05121,0.45715,1.02989,0.001142,0.001142,0.001142
15,1330.54,1.10064,0.50638,1.04219,0.98593,0.9628,0.98238,0.69526,1.05861,0.43507,1.02737,0.001076,0.001076,0.001076
16,1415.49,1.08171,0.49678,1.03763,0.98734,0.96377,0.98611,0.69578,1.05623,0.43469,1.0239,0.00101,0.00101,0.00101
17,1501.78,1.08115,0.49243,1.03134,0.98491,0.96849,0.98787,0.70226,1.03611,0.4333,1.02333,0.000944,0.000944,0.000944
18,1590.17,1.07158,0.48228,1.03027,0.98683,0.96955,0.98937,0.70598,1.03293,0.42428,1.01897,0.000878,0.000878,0.000878
19,1680.6,1.07455,0.47995,1.02896,0.98716,0.96642,0.98769,0.70605,1.02585,0.41298,1.01558,0.000812,0.000812,0.000812
20,1771.76,1.06407,0.47297,1.03068,0.98504,0.96648,0.99094,0.70463,1.03226,0.41486,1.02051,0.000746,0.000746,0.000746
21,1915.34,1.05839,0.43795,1.04392,0.98794,0.96783,0.98984,0.70613,1.02352,0.41658,1.01345,0.00068,0.00068,0.00068
22,2009.2,1.0471,0.43314,1.03871,0.98613,0.96955,0.99011,0.70254,1.04003,0.4209,1.02055,0.000614,0.000614,0.000614
23,2103.55,1.04054,0.42537,1.03205,0.98974,0.96752,0.99103,0.71269,1.00919,0.40465,1.00672,0.000548,0.000548,0.000548
24,2196.01,1.03445,0.41833,1.03802,0.9885,0.97407,0.99287,0.70847,1.01827,0.39963,1.00917,0.000482,0.000482,0.000482
25,2290.16,1.02879,0.41113,1.03061,0.9885,0.97704,0.99291,0.71581,1.00261,0.39237,1.00422,0.000416,0.000416,0.000416
26,2384.55,1.02235,0.40542,1.02438,0.98641,0.97423,0.99251,0.71872,0.9955,0.38279,0.999,0.00035,0.00035,0.00035
27,2474.15,1.01556,0.39745,1.02521,0.98815,0.97652,0.99338,0.72177,0.98725,0.38349,1.00183,0.000284,0.000284,0.000284
28,2562.23,1.00651,0.39081,1.02221,0.98838,0.9772,0.99327,0.72125,0.98975,0.3787,0.99888,0.000218,0.000218,0.000218
29,2649.57,1.00706,0.38696,1.01763,0.98915,0.97704,0.99343,0.72564,0.97292,0.36888,0.99152,0.000152,0.000152,0.000152
30,2750.14,0.99153,0.37958,1.0126,0.98974,0.97948,0.99384,0.72957,0.96859,0.36311,0.99139,8.6e-05,8.6e-05,8.6e-05
